SMILES,LogS,MW,LogP,MolMR,HBD,HBA,TPSA,RB,AP,Lipinski_Violations,Target_LogS_Range
Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.130181792020672,971.226,11.096799999999998,137.29199999999994,0,0,0.0,3,0.5,2,False
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.98296666070122,959.171,11.1039,129.958,0,1,9.23,2,0.5217391304347826,2,False
Brc1c(NC2=NCCN2)ccc2nccnc12,-3.2781893847874533,292.14000000000004,1.7633999999999999,71.16540000000002,2,5,62.2,1,0.5882352941176471,0,True
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,0.563173,293.148,-0.15600000000000014,69.70010000000002,3,4,63.81,1,0.5882352941176471,0,False
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,-7.756,627.588,7.928600000000003,98.078,0,0,0.0,1,0.6666666666666666,2,False
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,-7.300162274132754,390.90000000000003,5.6411000000000024,74.97800000000002,0,0,0.0,1,0.8,1,False
Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,-9.35066514128786,785.38,9.4536,113.47800000000001,0,0,0.0,1,0.6,2,False
Brc1cc(Br)c(Br)cc1Br,-6.978810700930062,393.69800000000004,4.7366,57.242000000000004,0,0,0.0,0,0.6,0,False
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,-6.536107011014093,687.6400000000001,7.719400000000003,110.07400000000001,0,2,18.46,5,0.5454545454545454,2,False
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,-8.68,722.483,8.8164,106.85800000000002,0,1,9.23,2,0.6,2,False
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,-8.1979,643.587,8.053900000000002,99.15800000000002,0,1,9.23,2,0.631578947368421,2,False
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-8.87,643.587,8.053900000000002,99.15800000000002,0,1,9.23,2,0.631578947368421,2,False
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,-8.87,643.587,8.053900000000002,99.15800000000002,0,1,9.23,2,0.631578947368421,2,False
Brc1cc(Br)c(Oc2cc(Br)cc(Br)c2Br)c(Br)c1,-8.197910742118268,643.587,8.053900000000002,99.15800000000002,0,1,9.23,2,0.631578947368421,2,False
Brc1cc(Br)cc(Br)c1,-5.600326278518962,314.802,3.974100000000001,49.54200000000001,0,0,0.0,0,0.6666666666666666,0,False
Brc1cc2ccccc2cc1Br,-6.319664486585437,285.966,4.364800000000001,59.34800000000002,0,0,0.0,0,0.8333333333333334,0,False
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.838631997765025,483.77900000000005,6.636000000000001,84.52000000000001,0,1,13.14,0,0.7647058823529411,1,False
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.35066514128786,785.3799999999999,9.4536,113.47800000000001,0,0,0.0,1,0.6,2,False
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,-7.756961951313706,627.588,7.928600000000003,98.078,0,0,0.0,1,0.6666666666666666,2,False
Brc1ccc(-c2ccc(Br)cc2)cc1,-7.739928612014925,312.004,4.878600000000002,67.27800000000002,0,0,0.0,1,0.8571428571428571,0,False
Brc1ccc(-c2ccccc2)cc1,-5.552841968657781,233.108,4.116100000000003,59.578000000000024,0,0,0.0,1,0.9230769230769231,0,False
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,-9.72584215073632,548.692,7.166100000000003,90.378,0,0,0.0,1,0.7058823529411765,2,False
Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,-8.059981844992336,469.796,6.403600000000003,82.678,0,0,0.0,1,0.75,1,False
Brc1ccc(Br)c(Br)c1,-4.5003129173815966,314.80199999999996,3.974100000000001,49.54200000000001,0,0,0.0,0,0.6666666666666666,0,True
Brc1ccc(Br)c2ccccc12,-5.359518563029578,285.966,4.364800000000002,59.34800000000001,0,0,0.0,0,0.8333333333333334,0,False
Brc1ccc(Br)cc1,-4.070070439915412,235.90599999999998,3.2116000000000007,41.842000000000006,0,0,0.0,0,0.75,0,True
Brc1ccc(I)cc1,-4.542118103266008,282.90599999999995,3.053700000000001,46.85900000000001,0,0,0.0,0,0.75,0,True
Brc1ccc(OCC2CO2)c(Br)c1,-3.669586226650809,307.96899999999994,2.989200000000001,57.07700000000002,0,2,21.759999999999998,3,0.46153846153846156,0,True
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,-7.15,564.691,7.291400000000002,91.45800000000001,0,1,9.23,2,0.6666666666666666,2,False
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-11.79860287567955,564.691,7.291400000000002,91.45800000000001,0,1,9.23,2,0.6666666666666666,2,False
Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,-7.43,485.795,6.528900000000002,83.75800000000001,0,1,9.23,2,0.7058823529411765,1,False
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,-7.91,485.795,6.528900000000002,83.75800000000001,0,1,9.23,2,0.7058823529411765,1,False
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,-7.97,564.691,7.291400000000002,91.45800000000001,0,1,9.23,2,0.6666666666666666,2,False
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,-7.510041520575165,485.795,6.528900000000002,83.75800000000001,0,1,9.23,2,0.7058823529411765,1,False
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,-6.76,406.899,5.766400000000002,76.058,0,1,9.23,2,0.75,1,False
Brc1ccc(Oc2ccccc2)cc1,-4.714,249.107,4.241400000000002,60.65800000000003,0,1,9.23,2,0.8571428571428571,0,True
Brc1ccc2c(c1)Sc1ccccc1N2,-6.111820506081675,278.174,4.657300000000001,67.98970000000001,1,2,12.03,0,0.8,0,False
Brc1ccc2ccccc2c1,-4.400116927926312,207.07,3.6023000000000014,51.64800000000002,0,0,0.0,0,0.9090909090909091,0,True
Brc1cccc(Br)c1,-3.540607512240769,235.90599999999998,3.2116000000000007,41.842000000000006,0,0,0.0,0,0.75,0,True
Brc1cccc(Br)c1Br,-5.040005161671584,314.80199999999996,3.9741,49.542,0,0,0.0,0,0.6666666666666666,0,False
Brc1cccc2ccccc12,-4.229089358409089,207.07,3.6023000000000014,51.648000000000025,0,0,0.0,0,0.9090909090909091,0,True
Brc1ccccc1,-2.549761814488112,157.01,2.4491000000000005,34.142,0,0,0.0,0,0.8571428571428571,0,True
Brc1ccccc1-c1ccccc1Br,-6.101274818410507,312.004,4.878600000000002,67.27800000000002,0,0,0.0,1,0.8571428571428571,0,False
Brc1ccccc1Br,-3.500312917381596,235.90599999999998,3.2116000000000007,41.84200000000001,0,0,0.0,0,0.75,0,True
Brc1ccccn1,-0.8805935924212702,157.998,1.8440999999999996,31.936999999999998,0,1,12.89,0,0.8571428571428571,0,False
Brc1cnc2[nH]ccc2c1,-3.5237442312487968,197.03500000000003,2.3254,43.79370000000001,1,1,28.68,0,0.9,0,True
C#CC,-0.9361160892959812,40.065,0.6395,14.507000000000001,0,0,0.0,0,0.0,0,False
C#CC#C,-0.7240590363805786,50.059999999999995,0.2528,17.665999999999997,0,0,0.0,0,0.0,0,False
C#CC#CC=C=CCCO,-1.890679660590734,132.162,0.7166999999999999,40.96480000000001,1,1,20.23,2,0.0,0,True
C#CC(=NOCC1OCCO1)c1ccccc1,-4.062983892535186,231.251,1.4134,63.45600000000004,0,4,40.05,4,0.35294117647058826,0,True
C#CC(C)(C)C,-2.6135565064041497,82.14599999999999,1.6657,28.287999999999986,0,0,0.0,0,0.0,0,True
C#CC(C)(C)N,1.0316559884186736,83.134,0.3569000000000001,27.099399999999992,1,1,26.02,0,0.0,0,False
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,-4.23210238398191,256.132,3.1350000000000016,66.84020000000002,1,1,29.1,2,0.375,0,True
C#CC(C)(C)O,1.0761262148847095,84.11799999999998,0.3905,25.13079999999999,1,1,20.23,0,0.0,0,False
C#CC(C)(CC)OC(N)=O,-0.945601464826038,141.17,0.8835999999999999,38.197399999999995,1,2,52.32,2,0.0,0,False
C#CC(C)(O)CC,0.0167319922529326,98.14499999999998,0.7806,29.747799999999987,1,1,20.23,1,0.0,0,False
C#CC(C)(O)CC(C)C,-1.0481305766297275,126.19899999999997,1.4167,38.91180000000001,1,1,20.23,2,0.0,0,True
C#CC(C)(O)CC/C=C(\C)CC,-2.302767866601976,166.26399999999995,2.5071000000000003,52.73880000000004,1,1,20.23,4,0.0,0,True
C#CC(C)(O)CCC=C(C)C,-1.7720804290180083,152.23699999999997,2.117,48.12180000000003,1,1,20.23,3,0.0,0,True
C#CC(C)(O)CCCC(C)CCCC(C)C,-4.954677021213342,224.38799999999995,4.003300000000003,71.16080000000007,1,1,20.23,8,0.0,0,True
C#CC(C)C(C)C(C)C(C)C(O)C(O)CC,-2.2756,226.35999999999999,2.2958,67.79360000000005,2,2,40.46,6,0.0,0,True
C#CC(C)N(C(=O)CCl)c1ccccc1,-2.6467780611762084,221.68700000000004,2.2801,62.94300000000003,0,1,20.310000000000002,3,0.4,0,True
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.899629454882437,236.70200000000003,2.825400000000001,66.52870000000003,1,1,32.34,2,0.375,0,True
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617199951380824,223.65900000000002,2.9102000000000006,59.85070000000002,1,2,38.33,2,0.4,0,True
C#CC(O)(C=CCl)CC,-3.0048037084028207,144.60099999999997,1.5132,39.066800000000015,1,1,20.23,2,0.0,0,True
C#CC(O)CCC,-0.4120922914764205,98.14500000000001,0.7806,29.747799999999987,1,1,20.23,2,0.0,0,False
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)/C(C)=C/CC,-6.393618634889395,274.404,4.126100000000004,82.95300000000005,0,2,26.3,5,0.0,0,False
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,-6.392544976785332,274.404,4.126100000000004,82.95300000000005,0,2,26.3,5,0.0,0,False
C#CC1(O)CCCCC1,-0.7048960630624901,124.183,1.3148,36.8678,1,1,20.23,0,0.0,0,False
C#CC1(OC(C)=O)CCCCC1,-2.352215200000797,166.21999999999997,1.8856,46.41500000000003,0,2,26.3,1,0.0,0,True
C#CC1(OC(N)=O)CCCCC1,-1.8253170357387705,167.20799999999997,1.4178000000000002,45.31740000000001,1,2,52.32,1,0.0,0,True
C#CC=C,-1.4642920848782728,52.076,0.8056,19.029999999999998,0,0,0.0,0,0.0,0,True
C#CCBr,-0.9022183368904776,118.96099999999998,1.0145,22.626999999999995,0,0,0.0,0,0.0,0,False
C#CCC,-1.2510739136449334,54.092,1.0295999999999998,19.124,0,0,0.0,0,0.0,0,True
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,-4.575118363368933,300.398,3.449200000000002,85.84600000000005,0,3,43.370000000000005,4,0.0,0,True
C#CCCC,-1.6399999910458838,68.119,1.4197,23.74099999999999,0,0,0.0,1,0.0,0,True
C#CCCCC,-2.359491929768176,82.146,1.8098,28.357999999999986,0,0,0.0,2,0.0,0,True
C#CCCCC#C,-1.7483045353038933,92.14099999999999,1.4231,31.51699999999999,0,0,0.0,2,0.0,0,True
C#CCCCCC,-3.010105436281227,96.173,2.1999000000000004,32.97499999999999,0,0,0.0,3,0.0,0,True
C#CCCCCCC,-3.6595558851598815,110.2,2.5900000000000007,37.592,0,0,0.0,4,0.0,0,True
C#CCCCCCC#C,-2.9819407931567268,120.195,2.2033000000000005,40.75100000000001,0,0,0.0,4,0.0,0,True
C#CCCCCCCC,-4.239577516576788,124.227,2.980100000000001,42.20900000000001,0,0,0.0,5,0.0,0,True
C#CCCCl,-1.3753816366840197,88.537,1.2485,24.16999999999999,0,0,0.0,1,0.0,0,True
C#CCN(C)Cc1ccccc1,-3.202732459169284,159.232,1.7516,51.60900000000004,0,1,3.24,3,0.5,0,True
C#CCN(C)[C@H](C)Cc1ccccc1,-2.511250056206232,187.286,2.1826,61.07100000000004,0,1,3.24,4,0.42857142857142855,0,True
C#CCN(CC)CC,-0.6020131230593575,111.18799999999999,0.9614,36.621,0,1,3.24,3,0.0,0,False
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,-5.296708621881339,354.3370000000002,1.9281,91.06800000000003,0,4,66.92,2,0.23076923076923078,0,False
C#CCN[C@@H]1CCc2ccccc21,-3.838631997765025,171.243,1.8967,54.33970000000003,1,1,12.03,2,0.46153846153846156,0,True
C#CCO,1.2513079092148551,56.064,-0.3881,15.918800000000001,1,1,20.23,0,0.0,0,False
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,-5.149353764816934,349.745,3.6101000000000028,85.60300000000004,0,5,57.650000000000006,6,0.5,0,False
C#CCOC(=O)NCCCC,-1.5006872453417597,155.19699999999997,1.1459000000000001,43.09170000000002,1,2,38.33,4,0.0,0,True
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,-4.943095148663527,349.745,3.6101000000000028,85.60300000000004,0,5,57.650000000000006,6,0.5,0,True
C#CCOCc1ccc(Cl)cc1,-2.9976740781579174,180.634,2.4898000000000007,49.941000000000024,0,1,9.23,3,0.5,0,True
C#CCON=C1CC2CCC1(C)C2(C)C,-2.312391053923321,205.30099999999996,2.838400000000001,61.44900000000004,0,2,21.59,2,0.0,0,True
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,-5.97061622231479,350.4800000000001,3.9192000000000027,95.82640000000006,0,4,44.760000000000005,6,0.25,0,False
C#CCOc1c(I)cc(I)cc1/C=N/NC(=O)Cn1nnc(-c2ccccc2Cl)n1,-2.664514417680828,646.6139999999999,3.365000000000002,130.20369999999997,1,6,94.28999999999999,7,0.5666666666666667,1,True
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.966576244513051,341.19399999999996,3.4418000000000024,85.14800000000002,0,4,57.26,3,0.5,0,False
C#CCOc1cc(-n2nc3n(c2=O)CCCC3)c(Cl)cc1Cl,-4.325138859262188,338.19399999999996,2.6891000000000007,85.11000000000001,0,3,49.05,3,0.5,0,True
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,-4.991399828238082,411.8850000000001,3.4104000000000028,113.01370000000003,1,4,56.790000000000006,10,0.41379310344827586,0,True
C#CCn1cc(O)n(COC(=O)C2C(C=C(C)C)C2(C)C)c1=O,-3.5316526695878427,318.3730000000001,1.7276999999999998,85.47380000000003,1,4,73.46000000000001,5,0.21739130434782608,0,True
C#C[C@]1(O)CC[C@H]2C3=CC=C4CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,-5.254144804826271,296.41,3.412600000000002,85.85180000000004,1,2,37.3,0,0.0,0,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C=C(OCC)CC[C@@H]4[C@H]3CC[C@@]21C,-7.043831569524636,326.4800000000001,4.453700000000004,95.96080000000005,1,2,29.46,2,0.0,0,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,-4.6439741428068775,324.4640000000001,4.048700000000004,95.01580000000004,1,2,37.3,1,0.0,0,True
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,-4.570247719997592,298.42600000000004,3.4925000000000024,85.87580000000005,1,2,37.3,0,0.0,0,True
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,-5.2564902352715706,312.4530000000001,3.8826000000000036,90.49280000000006,1,2,37.3,1,0.0,0,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,-5.6595558851598815,312.4530000000001,3.8826000000000036,90.49280000000006,1,2,37.3,0,0.0,0,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,-5.013676222949234,310.48100000000005,4.869700000000004,94.62580000000005,1,1,20.23,1,0.0,0,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-5.510041520575165,337.46300000000014,4.221000000000004,96.35280000000006,1,3,46.260000000000005,0,0.2,0,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-4.300162274132754,296.4100000000001,3.6126000000000023,86.50660000000005,2,2,40.46,0,0.2727272727272727,0,True
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,-4.91721462968355,310.4370000000001,3.915600000000003,91.39380000000006,1,2,29.46,1,0.2608695652173913,0,True
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,-5.3655227298392685,364.52900000000017,5.228400000000006,107.72580000000006,1,2,29.46,2,0.2222222222222222,1,False
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,-4.640164517660112,312.45300000000003,3.8826000000000036,90.49280000000006,1,2,37.3,0,0.0,0,True
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OCC)CC[C@@H]4[C@H]3CC[C@@]21C,-8.826813731587725,368.5170000000002,5.024500000000005,105.50800000000005,0,3,35.53,3,0.0,1,False
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,-4.79588849982385,340.46300000000014,4.0633000000000035,95.42300000000006,0,3,43.370000000000005,1,0.0,0,True
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,-4.841637507904751,369.5050000000003,4.714500000000005,104.25450000000005,1,4,58.89,2,0.0,0,True
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,-4.987162775294828,384.51600000000025,4.425900000000004,105.97000000000007,0,4,52.6,2,0.0,0,True
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-4.645891560852599,393.4430000000002,3.405100000000002,111.93970000000004,1,7,74.73000000000002,10,0.5517241379310345,0,True
C#Cc1ccccc1,-2.3502070368226105,102.13599999999998,1.6679000000000002,34.377,0,0,0.0,0,0.75,0,True
C#N,1.5687858725378343,27.025999999999996,0.13978,6.67,0,1,23.79,0,0.0,0,False
C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1,-3.892790030352132,344.50199999999995,6.115200000000006,116.13800000000002,0,2,24.72,11,0.46153846153846156,1,True
C(=C/c1ccccc1)\c1ccccc1,-5.790484985457369,180.24999999999997,3.857000000000003,61.81200000000003,0,0,0.0,2,0.8571428571428571,0,False
C(=Cc1ccccc1)CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,-2.6914,369.5320000000001,3.6899000000000024,117.33970000000004,1,1,7.680000000000001,6,0.6428571428571429,0,True
C(=Cc1ccccc1)c1ccccc1,-5.79317412396815,180.24999999999997,3.857000000000003,61.81200000000003,0,0,0.0,2,0.8571428571428571,0,False
C(=NC1CCCCC1)=NC1CCCCC1,-5.2076083105017466,206.33299999999997,3.825700000000003,63.60900000000005,0,2,24.72,2,0.0,0,False
C/C(=C(/CC(=O)O)C(=O)O)c1ccccc1,-2.0268943237060366,220.22400000000002,2.0194,58.92460000000003,2,2,74.6,4,0.375,0,True
C/C(=C(\CC(=O)O)C(=O)O)c1ccccc1,-3.016373712875465,220.22400000000002,2.0194,58.92460000000003,2,2,74.6,4,0.375,0,True
C/C(=C/C(=O)O)C(=O)O,0.7795000000003076,130.099,0.10189999999999988,29.02859999999999,2,2,74.6,2,0.0,0,False
C/C(=C\C(=O)O)C(=O)O,-0.6939999997162561,130.099,0.10189999999999988,29.02859999999999,2,2,74.6,2,0.0,0,False
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,-4.276544327964814,500.62900000000013,2.5925000000000016,128.6542000000001,4,8,146.05,16,0.0,1,True
C/C(=C\C1CCCCC1)CC(C)C=O,-4.359518563029578,194.318,3.738100000000003,60.17700000000005,0,1,17.07,4,0.0,0,True
C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,-4.863279432843593,296.539,6.364100000000007,95.56180000000009,1,1,20.23,13,0.0,1,True
C/C(=C\c1ccc(C)cc1)CCC=O,-3.567030709125594,188.26999999999995,3.3774200000000016,60.128000000000036,0,1,17.07,4,0.42857142857142855,0,True
C/C(=C\c1ccc(C)cc1)CO,-2.450503766856002,162.23199999999997,2.3906200000000006,51.91580000000003,1,1,20.23,2,0.5,0,True
C/C(=N/NC(=O)c1ccncc1)C(=O)O,-3.316052869248488,207.18899999999996,0.27189999999999975,52.448000000000015,2,4,91.65,3,0.4,0,True
C/C(=N/Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,-1.0168147794945313,268.18499999999995,1.3754,64.1183,2,7,147.97,5,0.3157894736842105,0,True
C/C(=N/Nc1nc(C)cc(C)n1)c1ccccc1C,-3.1958605676646497,254.337,3.237960000000002,78.51870000000004,1,4,50.17,3,0.631578947368421,0,True
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,-1.74934820740785,222.67900000000003,2.06628,59.43600000000002,0,3,52.28,2,0.4,0,True
C/C(C=O)=C/c1ccccc1,-2.4747186641224093,146.189,2.2888,46.157000000000025,0,1,17.07,2,0.5454545454545454,0,True
C/C(C=O)=C\c1ccccc1,-2.4747186641224093,146.189,2.2888,46.157000000000025,0,1,17.07,2,0.5454545454545454,0,True
C/C(Cl)=C/Cl,-1.6138209165325557,110.971,2.3253000000000004,25.462999999999994,0,0,0.0,0,0.0,0,True
C/C(Cl)=C\C(=O)O,-0.6052119834122027,120.53499999999998,1.2135999999999998,27.245799999999992,1,1,37.3,1,0.0,0,False
C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4/C(CCC(N)=O)C(C)(CC(N)=O)C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)[N]4[Co][C]#N)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,-2.0355,1357.4040000000002,-1.1165800000000097,332.7636000000004,11,18,481.06999999999994,27,0.0967741935483871,3,True
C/C=C(/C)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@@]42O[C@]13O,-3.016373712875465,591.7420000000003,0.9912000000000007,149.59479999999988,6,10,160.14999999999998,2,0.0,2,True
C/C=C(/CCCC)C(=O)NC(N)=O,-2.788280113871256,184.23899999999998,1.3177999999999999,51.00810000000003,2,2,72.19,4,0.0,0,True
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-4.94692155651658,266.34,4.604600000000004,83.51560000000003,2,2,40.46,3,0.6,0,True
C/C=C(C)\C=C\C=C(C)C,-4.161780778092374,136.23799999999997,3.4750000000000023,48.00200000000003,0,0,0.0,2,0.0,0,True
C/C=C(\C)C(=O)OCCC(C)CCC=C(C)C,-5.790484985457369,238.37099999999995,4.268400000000004,72.83600000000006,0,2,26.3,7,0.0,0,False
C/C=C(\C)C=O,-0.526999710156139,84.11799999999998,1.1515,25.49499999999999,0,1,17.07,1,0.0,0,False
C/C=C(\Cl)C(=O)O,-0.7568175787298335,120.53499999999998,1.2136,27.245799999999992,1,1,37.3,1,0.0,0,False
C/C=C/C,-1.9394650695105216,56.108000000000004,1.5824,20.487999999999996,0,0,0.0,0,0.0,0,True
C/C=C/C#N,-0.4287121285662137,67.09100000000001,1.08608,20.426999999999992,0,1,23.79,0,0.0,0,False
C/C=C/C(=O)C(C)CC,-1.621336679058271,126.19899999999998,2.1776999999999997,39.276,0,1,17.07,3,0.0,0,True
